,AdfgStreamCode,StreamName,SurveyDate,Comments,BeginLatitude,BeginLongitude,BeginComments,EndLatitude,EndLongitude,EndComments,ExtentLatitude,ExtentLongitude,ExtentComments,DistanceMeters,SpeciesCode,CommonName,AliveCount,DeadCount,PreviouslySampledCount,TotalCount,NumberofSpecimens,NumberStrays,PercentStrays,numReadOK,numMarked,numUnMarked,Year
39,110-23-10100,Johnston Creek,8/8/15,"SURVEY QUALITY: GOOD Left the Bear at 0800 and got dropped off just below the tree line.  Counted and sampled fish on the way up the creek.  Many fresh chums seen low on the creek.  Most samples came from dead fish, which were very prevatent in the last two miles of the stream.  Lots of chums were seen on redds that were in shallow water due to low water level.  This was the first stream visit where prevalent postspawn (non-preyed upon) pink salmon carcasses were seen.  Surveyed 5.61 miles total for the day.  Turn around time of 1730 due to stream narrowing, braiding and becoming overgrown.  Got picked up on the way out at 1945.  Creek was low with good visibility.  High tide at 0848 of 12.0' (Petersburg).  Sunny all day.  Two bears seen during the survey.",57.50360104,-134.0951586,,57.51229085,-134.1567929,,NA,NA,,3819.124999,450,Chum Salmon,640,178,NA,818,196,1,0.52,191,1,190,2015
40,110-23-10100,Johnston Creek,8/21/15,"SURVEY QUALITY: FAIR Survey began at 8:15 am during mid-tide. Surveyed and processed fish from tide-flats to tree line then continued live/dead count without sampling to furthest point. Water level low, clarity fair. Lots of dead salmon. Numbers of live salmon made live counts fair. Saw sow and two cubs on the return trip. Great day. Kicked ass. Took otoliths. Sampled 307 individuals, which was especially significant for our team crew-lead. 'Wyoming', he said simply. ",57.49189908,-134.068529,,57.51428756,-134.148708,,NA,NA,,5414.926234,450,Chum Salmon,166,320,NA,486,307,2,0.66,304,2,302,2015
41,110-23-10210,East of Snug Cove,7/31/13,Fish in saltwater,57.42172962,-133.9280484,,57.41473179,-133.9404215,,NA,NA,,1077.087223,450,Chum Salmon,0,0,NA,0,0,NA,NA,NA,NA,NA,2013
42,110-23-10210,East of Snug Cove,8/5/13,Prespawn,57.41815728,-133.9283321,,57.41358125,-133.9426735,,NA,NA,,1001.218519,450,Chum Salmon,800,50,NA,850,35,0,0,35,0,35,2013
43,110-23-10210,East of Snug Cove,8/2/14,"very few fish in creek. both pinks and chums contained to a few deep pools. water is low. saw some chums past first rocky barrier but not above big log waterfall dropoff, marked this as upper extent. ",57.41837228,-133.9293151,,57.40836617,-133.9507765,,57.41064985,-133.9474544,,1704.48509,450,Chum Salmon,22,6,NA,28,0,NA,NA,NA,NA,NA,2014
44,110-23-10210,East of Snug Cove,8/12/14,"visited 2 days after heavy rain, not many fish",57.41767182,-133.9252208,,57.4142097,-133.94208,,NA,NA,,1083.997704,450,Chum Salmon,76,9,NA,85,13,0,0,12,0,12,2014
45,110-23-10210,East of Snug Cove,7/30/15,"SURVEY QUALITY: FAIR Went ashore at 1000.  Anchored on the righthand side just as you entered the cove on an incoming tide.  Hiked across the tide flat to start the survey well within the intertidal zone.  No chums were seen until the grass started right before tree line.  Chums were seen throughout most of the stream, until the suvey was ended at a small impaccable gorge.  Survey was completed at 1230.  Very few pinks were seen.  Roughly 40% of chums observed were on redds, but none were moldy.  Stream water is dark, which impedes identification in deep pools.  Throughout, the stream is shallow and narrow with very few log jams.  Periodic rain throughout the day.   On the way out it was high tide at 1334 of 15.2' (Petersburg), which meant we walked around the forest edge to get back to the skiffs.  Saw three deer and no bears.",57.41814591,-133.9248097,,57.41413923,-133.9420705,,NA,NA,,1129.147376,450,Chum Salmon,83,1,NA,84,0,NA,NA,NA,NA,NA,2015
46,110-23-10210,East of Snug Cove,8/10/15,"SURVEY QUALITY: GOOD Left the Bear at 1030 and got dropped off at the stream mouth.  Surveyed upstream until turning around at 1600.  The water was very low throughout the stream, most chums were in shallow pools, and redds from previous visits were almost dry.  Most of the chum were moldy.  Approximately 30% of the live chum observed were postspawn and therefore snagged for sampling.  The large pool between the gorge, where we typically turn around was passable for some of the crew on this visit.  Reduced water level throughout the stream made visibility much higher on this visit.  High tide was 1122 of 12.7' (Petersburg).  It drizzeled all day.",57.41832031,-133.9280896,,57.41408785,-133.9422888,,NA,NA,,974.7966,450,Chum Salmon,186,97,NA,283,153,8,5.3,151,8,143,2015
47,110-23-10210,East of Snug Cove,8/22/15,"SURVEY QUALITY: POOR Started survey near mouth of creek around 9:00 am. Surveyed upstream about 1 mile until canyon narrowed and chum salmon appeared to dissapate. Processed fish while traversing downstream, and found the majority of our samples once we surveyed the tide flat. Like a feral cat strikes fear into the alley mouse, large grey cotton candy-esque clouds swarmed the region and blanketed us with its contents. Winds blowing into the 40 knot range tried to whimper our spirits, but were unsuccessful as our team accumulated 196 samples.",57.4181052,-133.9172995,,57.41373835,-133.9421679,,NA,NA,,1571.550459,450,Chum Salmon,55,206,NA,261,196,7,3.63,193,7,186,2015
48,110-32-10090,Chuck River,7/25/14,Good job team,57.57084489,-133.3501688,,57.56564941,-133.3403334,,57.56564941,-133.3403334,,825.3657432,450,Chum Salmon,315,2,NA,317,75,2,2.67,75,2,73,2014
49,110-32-10090,Chuck River,8/16/14,"very few fish, likely pushed out in flood event",57.56741752,-133.3479961,,57.56562501,-133.3399626,,57.5655182,-133.3400109,,520.5687995,450,Chum Salmon,26,5,NA,31,7,1,14.29,7,1,6,2014
50,110-32-10090,Chuck River,8/28/14,"Arrived at beach at 08:45, near low tide (tide flats of Chuck River). Conducted alive/dead count and chum sampling on walk up creek. Many pink salmon carcasses in lower reach. Turned onto Sylvia Creek at intersection with Chuck River. Walked to the upper extent of Sylvia Creek (series of waterfalls). Water level normal (?), visibility good. Mostly cloudy, light rain at times. Upon return to intersection with Chuck River continued up Chuck in search of route to upper reach, turned around due to impassable gorge; attempted a route through the woods along ridge, but unsuccessful in finding route. Sockeye salmon, Moose droppings, Mergansers and King Fisher seen. No live chum seen on Chuck River above intersection with Sylvia Creek (but Pinks observed). Picked up ~0.5 mile up Chuck River around 16:00, near high tide.",57.58925113,-133.3625641,,57.56610842,-133.3399499,,57.56610842,-133.3399499,,2910.928616,450,Chum Salmon,4,4,NA,8,7,0,0,7,0,7,2014
51,110-32-10090,Chuck River,7/30/15,Water high but dropping throughout survey. Stained high water made visibilty difficult but chum could be seen throughout survey. We made it to the upper extent of the left tributary. Water was to high to sample lower on the river. We used the jetboat to get through this section.SURVEY QUALITY: POOR ,57.56817478,-133.3467459,,57.56547223,-133.3404308,,57.56547223,-133.3404308,,483.135711,450,Chum Salmon,51,12,NA,63,28,4,14.29,28,4,24,2015
52,110-32-10090,Chuck River,8/10/15,"SURVEY QUALITY: FAIR Got on the stream at 8:20  in the morning, worked from the mouth as the tide was coming in upstream.  Survey quality fair due to the deep pools and high number of pink salmon making live counts more difficult.  We sampled the Sylvia Fork of the drainage to the waterfall, where we recorded an upper extent.  We then went up the main channel until the canyon, where we got an end survey location.  Overcast and rainy most of day, but water level remained low for survey and visibility was clear.",57.58366204,-133.3566276,,57.56281338,-133.3518048,,57.56558148,-133.3395466,,2339.780547,450,Chum Salmon,73,127,NA,200,125,11,9.02,122,11,111,2015
53,110-34-10060,Glen Creek,8/1/13,,57.32900233,-133.110821,,57.31435592,-133.0965845,,NA,NA,,1842.866494,450,Chum Salmon,125,10,NA,135,67,3,4.62,65,3,62,2013
54,110-34-10060,Glen Creek,8/6/13,,57.32919859,-133.1108592,,57.31406525,-133.0963207,,NA,NA,,1899.353401,450,Chum Salmon,50,150,NA,200,81,1,1.23,81,1,80,2013
55,110-34-10060,Glen Creek,7/26/14,"very few fish, no observed spawning habitat. ",57.32830317,-133.107871,,57.30127364,-133.0878874,,NA,NA,,3242.079649,450,Chum Salmon,37,0,NA,37,3,0,0,2,0,2,2014
56,110-34-10060,Glen Creek,8/17/14,rain rain go awayno chum,57.32403529,-133.1002272,,57.31164468,-133.0947351,,NA,NA,,1419.010324,450,Chum Salmon,0,0,NA,0,0,NA,NA,NA,NA,NA,2014
57,110-34-10060,Glen Creek,7/29/15,"SURVEY QUALITY: FAIR Water level up with some staining but fair visibility throughout. Saw many pinks in lower reaches and saw no sign of any chum. Stream becomes very high gradient and has large boulders making wading difficult. With this water level, we could not safely continue past where we ended the survey. There appeared to be no chum present.",57.32826312,-133.1084472,,57.30840719,-133.0925087,,NA,NA,,2410.797929,450,Chum Salmon,0,0,NA,0,0,NA,NA,NA,NA,NA,2015
58,110-34-10060,Glen Creek,8/11/15,"SURVEY QUALITY: POOR Survey began at 9:00 am. Water clarity was poor, water was fairly high. Hiked approx. 1 mile up the stream along the bank before high water, low fish, and shitty conditions caused us to take an endpoint and return to the boat. Rain throughout the day. Wolves heard before entering the trees when first arriving and when we left. ",57.32773067,-133.1081846,,57.31127778,-133.0940822,,NA,NA,,2019.706293,450,Chum Salmon,4,4,NA,8,5,2,40,5,2,3,2015
59,111-16-10450,Swan Cove Creek,8/2/13,run apears to be over,57.99344162,-134.3218384,,57.99509406,-134.3525089,,NA,NA,,1823.235039,450,Chum Salmon,10,80,NA,90,70,4,6.56,61,4,57,2013
60,111-16-10450,Swan Cove Creek,7/24/14,"too early, no fish sampled",57.99299884,-134.3408246,,57.98697722,-134.3720609,,NA,NA,,1965.565997,450,Chum Salmon,62,0,NA,62,0,NA,NA,NA,NA,NA,2014
61,111-16-10450,Swan Cove Creek,8/8/14,no jet boat,57.98376461,-134.3202436,,57.9870844,-134.3725986,,57.98708073,-134.3726121,,3119.152219,450,Chum Salmon,52,74,NA,126,96,0,0,93,0,93,2014
62,111-16-10450,Swan Cove Creek,7/24/15,"High dark muddy water, could not continue survey beyond tide flats.SURVEY QUALITY: POOR",57.98628353,-134.324017,,57.99276703,-134.34223,,NA,NA,,1296.932292,450,Chum Salmon,4,3,NA,7,4,0,0,4,0,4,2015
63,111-16-10450,Swan Cove Creek,7/25/15,SURVEY QUALITY: FAIR ,57.98824461,-134.3275972,,57.98666515,-134.3701237,,NA,NA,,2521.736888,450,Chum Salmon,191,36,NA,227,63,0,0,62,0,62,2015
64,111-16-10450,Swan Cove Creek,7/31/15,"Creek was high and off color making for poor visibility throughout the survey, Most samples were from predation found along the stream bank. We could not get to the upper reaches of this survey due to high, fast water conditions.SURVEY QUALITY: POOR ",57.98225101,-134.3123449,,57.98792109,-134.3506142,,NA,NA,,2350.342628,450,Chum Salmon,17,43,NA,60,35,1,2.86,35,1,34,2015
65,111-16-10450,Swan Cove Creek,8/9/15,"SURVEY QUALITY:  FAIRLeft the Bear at 1030 to get dropped off at the top of the intertidal at 1115.  We hiked to the top of the creek and surveyed on the way down.  There is a waterfall of at least 15ft at the top, which serves as a barrier to chum migration.  Turned around at 1300.  Lots of dead carcasses were seen throughout the creek.  Very few live chum were seen and all were moldy. Lots of dead pinks throughout as well.  The creek seemed low and was clear.  High tide was at 1012 of 12.0' (Petersburg).  The weather was sunny switching to cloudy in the afternoon.  ",57.98688273,-134.3743681,,57.99297691,-134.3408168,,57.98688273,-134.3743681,,2097.406556,450,Chum Salmon,57,241,NA,298,232,2,0.88,226,2,224,2015
66,111-17-10100,King Salmon River,8/3/13,,58.03779728,-134.317143,,58.05417811,-134.353517,,NA,NA,,2818.369514,450,Chum Salmon,100,350,NA,450,101,3,3.09,97,3,94,2013
67,111-17-10100,King Salmon River,7/23/14,Dale B's crew went up in jetboat from mouth and surveye upstream. Ben A and Derrick M flew with ADF&G into upper reaches of Index area and then walked down. Met up at PA 8. ,58.04248319,-134.3397194,,58.07133,-134.3886,,NA,NA,,4318.685468,450,Chum Salmon,2160,20,NA,2180,116,0,0,115,0,115,2014
68,111-17-10100,King Salmon River,7/31/14,Flew into upper reaches with ADF&G and Derrick. We then walked down to the point where we met Dale on the previous K.S.R. Visit. Good numbers but limited time. ,58.07127515,-134.3884822,,NA,NA,,NA,NA,,NA,450,Chum Salmon,1200,350,NA,1550,127,0,0,126,0,126,2014
69,111-17-10100,King Salmon River,8/9/14,river flooding,58.04247996,-134.3397574,,58.0576252,-134.3647868,,NA,NA,,2242.753576,450,Chum Salmon,52,42,NA,94,47,1,2.13,47,1,46,2014
70,111-17-10100,King Salmon River,7/26/15,Saw very few chum down low near tide flat. Started seeing more chum as we moved up the river. Most samples were from fairly old rotten heads. Many found on grass flats and logjams indicating many carcasses may have been washed out with recent flood. SURVEY QUALITY: FAIR ,58.04330312,-134.3418531,,58.06884461,-134.3849609,,NA,NA,,3817.105245,450,Chum Salmon,89,97,NA,186,96,1,1.09,92,1,91,2015
71,111-17-10100,King Salmon River,8/1/15,SURVEY QUALITY: FAIR Water was high at the start of the survey along with poor visibility.  Stream level decreased and cleared up as survey went on. Most samples were from collected fish heads.,58.04314847,-134.3416732,,58.0691374,-134.3846936,,NA,NA,,3850.980435,450,Chum Salmon,38,80,NA,118,74,1,1.35,74,1,73,2015
72,111-17-10100,King Salmon River,8/4/15,"SURVEY QUALITY: FAIR Flew into the upper reacdhed, approximately 5 miles up. Went with Phil Richards from ADF&G on his Chinook survey. Most fish sampled were dead and there were very few live chums. Run is essentially over. Walked upstream from drop off point for about 3/4 mile and sampled a few locations before heading down. Did not do an accurate count due to lack of time and manpower. Estimated live/dead count is certainly not far off for section of stream covered. ",58.07847531,-134.4006132,,58.05504,-134.35398,,NA,NA,,3793.277447,450,Chum Salmon,250,100,NA,350,141,1,0.72,138,1,137,2015
